number,locationid,BEATid,ZONEid,dateid,crimeid_x,count_crime_type
102971494,410,9,4,8,2,1
102971504,41,29,6,8,3,1
102971524,411,42,2,8,3,1
102971556,412,33,2,8,1,1
102971560,413,16,2,8,2,1
102971645,414,25,4,8,2,1
102971668,344,26,4,8,2,1
102971698,407,14,4,8,2,1
102971710,415,39,5,8,5,1
102971749,416,52,5,8,7,1
102971794,123,21,6,8,7,1
102971799,417,11,3,8,3,1
102971879,418,9,4,8,2,1
102971898,41,29,6,8,3,1
102971900,419,32,3,8,2,1
102971939,276,27,4,8,3,1
102971966,420,30,4,8,5,1
102970312,421,10,2,8,5,1
102970488,339,4,1,8,5,1
102970520,422,11,3,8,3,1
102970536,423,2,2,8,2,1
102970541,424,16,2,8,6,1
102970552,425,60,6,8,4,1
102970569,151,44,2,8,5,1
102970619,426,28,5,8,1,1
102970676,427,49,2,8,1,1
102970689,428,23,5,8,1,1
102970702,90,38,5,8,3,1
102970765,429,51,3,8,3,1
102970779,430,32,3,8,2,1
102970786,431,28,5,8,1,1
102970800,432,24,3,8,2,1
102970827,433,27,4,8,2,1
102970847,434,2,2,8,1,1
102970849,435,19,1,8,7,1
102970866,436,30,4,8,5,1
102970882,437,3,3,8,2,1
102970884,438,32,3,8,2,1
102970989,369,60,6,8,2,1
102971030,439,3,3,8,2,1
102971031,440,62,2,8,2,1
102971051,441,10,2,8,1,1
102971074,442,55,2,8,7,1
102971109,147,12,3,8,3,1
102960945,443,6,3,8,3,1
102960972,444,33,2,9,7,1
102960981,445,34,2,9,2,1
102960988,446,30,4,9,3,1
102961096,447,19,1,9,7,1
102961099,448,60,6,9,2,1
102961133,266,29,6,9,2,1
102961157,449,26,4,9,1,1
102961202,1,1,1,9,1,1
102961248,450,16,2,9,7,1
102961257,451,55,2,9,3,1
102961270,318,6,3,9,3,1
102961288,452,53,5,9,2,1
102961289,453,30,4,9,2,1
102961328,454,52,5,9,3,1
102961360,455,50,3,9,2,1
102961388,224,58,2,9,4,1
102961404,456,26,4,9,3,1
102961413,457,51,3,9,2,1
102961425,458,25,4,9,2,1
102961438,459,25,4,9,3,1
102961439,460,35,1,9,5,1
102961440,461,2,2,9,7,1
102961449,462,16,2,9,2,1
102961462,463,47,5,9,2,1
102961472,464,21,6,9,3,1
